index,iteration,epoch,decision,reason,policy,levels_remaining,levels_needed,max_depth,threshold,refresh_kind,precision_bits,serialized_bytes,refresh_seconds,cumulative_refreshes,timestamp,elapsed_seconds
0,0,0,continue,10 level(s) remain and the next step needs 5; the ciphertext is within its operating range.,adaptive,10,5,10,levels_remaining < next_step_depth + 0,client_aided,26.165181497239388,1960212,,0,1789617158.1378112,0.7089994000002662
1,1,0,continue,5 level(s) remain and the next step needs 5; the ciphertext is within its operating range.,adaptive,5,5,10,levels_remaining < next_step_depth + 0,client_aided,12.477529273703539,1090834,,0,1789617161.8632526,4.434440600000016
2,2,1,refresh,0 level(s) remain; the next step needs 5 (+0 margin = 5). Continuing would exhaust the modulus chain.,adaptive,0,5,10,levels_remaining < next_step_depth + 0,client_aided,10.662451497691746,220298,0.3956618000001981,1,1789617163.8625617,6.433751200000188
3,3,1,continue,5 level(s) remain and the next step needs 5; the ciphertext is within its operating range.,adaptive,5,5,10,levels_remaining < next_step_depth + 0,client_aided,12.47403582285661,1091129,,1,1789617167.6747584,10.2459458000003
4,4,2,refresh,0 level(s) remain; the next step needs 5 (+0 margin = 5). Continuing would exhaust the modulus chain.,adaptive,0,5,10,levels_remaining < next_step_depth + 0,client_aided,10.661489702838182,220328,0.3841371000003164,2,1789617169.716354,12.287556500000392
5,5,2,continue,5 level(s) remain and the next step needs 5; the ciphertext is within its operating range.,adaptive,5,5,10,levels_remaining < next_step_depth + 0,client_aided,12.474970757536138,1091654,,2,1789617173.6092567,16.18044430000009
6,6,3,refresh,0 level(s) remain; the next step needs 5 (+0 margin = 5). Continuing would exhaust the modulus chain.,adaptive,0,5,10,levels_remaining < next_step_depth + 0,client_aided,10.662329096465452,220343,0.36792719999994006,3,1789617175.7035694,18.274758700000348
7,7,3,continue,5 level(s) remain and the next step needs 5; the ciphertext is within its operating range.,adaptive,5,5,10,levels_remaining < next_step_depth + 0,client_aided,12.476341590023623,1091022,,3,1789617179.4782555,22.049443000000338
8,8,4,refresh,0 level(s) remain; the next step needs 5 (+0 margin = 5). Continuing would exhaust the modulus chain.,adaptive,0,5,10,levels_remaining < next_step_depth + 0,client_aided,10.661566297492994,220319,0.37990910000098665,4,1789617181.3925772,23.963766400000168
9,9,4,continue,5 level(s) remain and the next step needs 5; the ciphertext is within its operating range.,adaptive,5,5,10,levels_remaining < next_step_depth + 0,client_aided,12.475477387663307,1091731,,4,1789617185.16236,27.73354750000044
10,10,5,refresh,0 level(s) remain; the next step needs 5 (+0 margin = 5). Continuing would exhaust the modulus chain.,adaptive,0,5,10,levels_remaining < next_step_depth + 0,client_aided,10.662112975534525,220331,0.3887747999997373,5,1789617187.0737169,29.64490650000016
11,11,5,continue,5 level(s) remain and the next step needs 5; the ciphertext is within its operating range.,adaptive,5,5,10,levels_remaining < next_step_depth + 0,client_aided,12.474772304533529,1090694,,5,1789617190.8839474,33.45513480000045
