index,iteration,epoch,decision,reason,policy,levels_remaining,levels_needed,max_depth,threshold,refresh_kind,precision_bits,serialized_bytes,refresh_seconds,cumulative_refreshes,timestamp,elapsed_seconds
0,0,0,continue,"fixed schedule not due: step 0 of every 1 (10 level(s) remained, not consulted)",baseline_fixed,10,5,10,every 1 step(s),client_aided,24.5455337376822,1961357,,0,1789617098.1885555,2.393086399999902
1,1,0,refresh,fixed schedule reached: step 1 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.477115913794005,1091000,0.7652113000003737,1,1789617105.344706,9.548943899999813
2,2,1,refresh,fixed schedule reached: step 2 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.475614490354419,1091687,0.4430110000002969,2,1789617110.8468952,15.051128699999936
3,3,1,refresh,fixed schedule reached: step 3 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.477164112229874,1091837,0.49548980000054144,3,1789617115.8500617,20.0542961000001
4,4,2,refresh,fixed schedule reached: step 4 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.474120008771154,1090617,0.5030707999999322,4,1789617120.805692,25.00992529999985
5,5,2,refresh,fixed schedule reached: step 5 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.475038738757116,1091146,0.49646919999986494,5,1789617125.5613608,29.765594399999827
6,6,3,refresh,fixed schedule reached: step 6 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.477729096786048,1090978,0.4334175999993022,6,1789617130.193682,34.39791520000017
7,7,3,refresh,fixed schedule reached: step 7 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.476071316808536,1090743,0.46867339999926116,7,1789617134.6057355,38.80996839999989
8,8,4,refresh,fixed schedule reached: step 8 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.475958887461246,1091470,0.5424196999997548,8,1789617139.5463219,43.7505557999998
9,9,4,refresh,fixed schedule reached: step 9 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.477100420747057,1090839,0.48561690000087765,9,1789617144.404406,48.60863900000004
10,10,5,refresh,fixed schedule reached: step 10 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.47438949495637,1090925,0.4290728999994826,10,1789617148.8643975,53.06863079999994
11,11,5,refresh,fixed schedule reached: step 11 is a multiple of 1 (ciphertext state was not consulted; 5 level(s) remained),baseline_fixed,5,5,10,every 1 step(s),client_aided,12.477294477033825,1091157,0.4609442000000854,11,1789617153.2552161,57.45944939999981
